# C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol
1.545e-03 1.017e-03 1.748e-01 1.357e-01 0.000e+00 0.000e+00 2.329e-04 7.048e-05 0.000e+00 0.000e+00
1.302e-03 1.021e-03 1.705e-01 1.405e-01 0.000e+00 0.000e+00 1.078e-04 8.253e-05 0.000e+00 0.000e+00
9.527e-04 1.014e-03 1.624e-01 1.481e-01 7.092e-04 6.065e-04 4.283e-05 1.922e-04 2.068e-06 5.174e-06
7.044e-04 1.018e-03 1.587e-01 1.541e-01 0.000e+00 0.000e+00 5.700e-05 4.077e-04 0.000e+00 0.000e+00
5.413e-04 1.014e-03 1.560e-01 1.555e-01 0.000e+00 0.000e+00 4.193e-05 4.935e-04 0.000e+00 0.000e+00
3.983e-04 1.021e-03 1.502e-01 1.530e-01 7.037e-04 2.464e-04 4.155e-05 6.533e-04 2.010e-06 6.534e-06
1.574e-03 4.037e-03 1.406e-01 1.584e-01 0.000e+00 0.000e+00 7.252e-05 2.224e-03 0.000e+00 0.000e+00
1.541e-03 2.886e-03 1.470e-01 1.580e-01 5.201e-04 6.251e-04 5.134e-05 1.207e-03 2.402e-06 7.364e-06
1.564e-03 2.261e-03 1.522e-01 1.553e-01 5.056e-04 6.074e-04 3.208e-05 6.905e-04 4.775e-06 1.553e-05
1.544e-03 1.643e-03 1.617e-01 1.506e-01 5.142e-04 6.420e-04 4.014e-05 2.433e-04 2.123e-06 2.623e-06
1.525e-03 1.195e-03 1.692e-01 1.398e-01 0.000e+00 0.000e+00 1.273e-04 9.032e-05 0.000e+00 0.000e+00
1.545e-03 1.017e-03 1.748e-01 1.357e-01 0.000e+00 0.000e+00 2.329e-04 7.048e-05 0.000e+00 0.000e+00
1.529e-03 7.261e-04 1.810e-01 1.296e-01 0.000e+00 0.000e+00 5.368e-04 8.714e-05 0.000e+00 0.000e+00
1.936e-03 5.733e-04 1.848e-01 1.233e-01 7.063e-04 5.891e-04 1.248e-03 1.320e-04 2.220e-05 9.015e-06
1.561e-03 5.853e-04 1.801e-01 1.245e-01 0.000e+00 0.000e+00 7.697e-04 8.723e-05 0.000e+00 0.000e+00
1.561e-03 5.853e-04 1.801e-01 1.245e-01 0.000e+00 0.000e+00 7.697e-04 8.723e-05 0.000e+00 0.000e+00
1.520e-03 4.500e-04 1.894e-01 1.297e-01 0.000e+00 0.000e+00 9.678e-04 1.149e-04 0.000e+00 0.000e+00
1.200e-03 5.700e-04 1.762e-01 1.288e-01 0.000e+00 0.000e+00 4.718e-04 1.022e-04 0.000e+00 0.000e+00
8.650e-04 5.697e-04 1.766e-01 1.383e-01 0.000e+00 0.000e+00 2.017e-04 7.386e-05 0.000e+00 0.000e+00
7.365e-04 5.773e-04 1.678e-01 1.380e-01 0.000e+00 0.000e+00 1.040e-04 7.894e-05 0.000e+00 0.000e+00
5.355e-04 5.698e-04 1.628e-01 1.449e-01 4.279e-04 5.060e-04 5.223e-05 1.502e-04 3.511e-06 5.924e-06
3.962e-04 5.727e-04 1.600e-01 1.496e-01 0.000e+00 0.000e+00 3.888e-05 2.307e-04 0.000e+00 0.000e+00
3.039e-04 5.693e-04 1.574e-01 1.516e-01 0.000e+00 0.000e+00 4.271e-05 3.002e-04 0.000e+00 0.000e+00
