#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
4.976e-03 3.110e-03 2.501e-01 1.492e-01 9.167e-04 1.034e-03 2.944e-05 9.313e-05 2.613e-06 2.769e-06 
4.799e-03 2.368e-03 2.713e-01 1.311e-01 6.785e-04 7.635e-04 4.362e-05 4.120e-05 3.666e-06 1.615e-06 
3.789e-03 2.999e-03 2.312e-01 1.635e-01 5.412e-04 6.051e-04 1.770e-05 2.152e-04 1.205e-06 5.316e-06 
4.838e-03 1.722e-03 2.965e-01 1.047e-01 4.413e-04 3.678e-04 8.697e-05 1.866e-05 5.867e-06 2.075e-06 
2.755e-03 3.024e-03 2.094e-01 1.794e-01 7.230e-04 5.567e-04 1.014e-05 5.399e-04 1.152e-06 6.997e-06 
4.879e-03 1.459e-03 3.116e-01 9.352e-02 0.000e+00 0.000e+00 9.427e-05 1.198e-05 0.000e+00 0.000e+00 
2.334e-03 3.049e-03 2.002e-01 1.851e-01 0.000e+00 0.000e+00 7.853e-06 7.641e-04 0.000e+00 0.000e+00 
4.826e-03 1.063e-03 3.226e-01 7.298e-02 0.000e+00 0.000e+00 9.676e-05 5.330e-06 0.000e+00 0.000e+00 
1.701e-03 3.016e-03 1.906e-01 1.904e-01 7.096e-04 8.627e-04 6.283e-06 1.204e-03 8.248e-07 1.040e-05 
4.857e-03 7.876e-04 3.435e-01 5.845e-02 0.000e+00 0.000e+00 1.232e-04 4.776e-06 0.000e+00 0.000e+00 
1.260e-03 3.036e-03 1.877e-01 1.955e-01 3.946e-04 7.200e-04 1.133e-05 1.620e-03 1.125e-06 1.115e-05 
4.859e-03 6.080e-04 3.581e-01 4.679e-02 1.205e-03 4.307e-04 1.250e-04 2.340e-06 4.033e-06 3.136e-07 
9.727e-04 3.037e-03 1.810e-01 1.963e-01 5.731e-04 6.860e-04 1.301e-05 1.894e-03 1.182e-06 1.595e-05 
4.854e-03 4.437e-04 3.643e-01 3.501e-02 7.255e-04 2.635e-04 1.541e-04 1.263e-06 4.164e-06 2.962e-07 
7.100e-04 3.034e-03 1.815e-01 1.996e-01 5.477e-04 5.441e-04 1.398e-05 2.164e-03 1.273e-06 1.197e-05 
4.843e-03 2.935e-04 3.740e-01 2.473e-02 9.237e-04 3.061e-04 1.436e-04 7.520e-07 5.906e-06 2.275e-07 
4.696e-04 3.027e-03 1.816e-01 2.020e-01 6.000e-04 5.648e-04 1.432e-05 2.392e-03 1.596e-06 1.879e-05 
4.816e-03 1.624e-04 3.812e-01 1.366e-02 3.406e-04 2.268e-04 1.421e-04 4.230e-07 5.109e-06 1.534e-07 
2.599e-04 3.010e-03 1.812e-01 2.026e-01 3.948e-04 4.572e-04 1.991e-05 2.637e-03 1.746e-06 1.879e-05 
4.831e-03 5.911e-05 3.934e-01 4.566e-03 1.016e-03 1.122e-04 1.578e-04 2.978e-07 6.607e-06 1.254e-07 
9.457e-05 3.019e-03 2.771e-02 3.662e-02 0.000e+00 0.000e+00 6.144e-05 2.834e-03 0.000e+00 0.000e+00 
4.804e-03 3.033e-05 3.915e-01 2.121e-03 0.000e+00 0.000e+00 1.625e-04 0.000e+00 0.000e+00 0.000e+00 
4.853e-05 3.003e-03 2.171e-02 3.162e-02 0.000e+00 0.000e+00 3.244e-05 2.792e-03 0.000e+00 0.000e+00 
2.785e-03 4.530e-02 4.609e-02 1.037e-01 0.000e+00 0.000e+00 1.844e-03 4.232e-02 0.000e+00 0.000e+00 
7.248e-02 1.741e-03 3.986e-01 1.003e-02 1.595e-03 2.011e-04 1.541e-04 4.573e-07 2.636e-06 3.560e-07 
2.809e-03 3.254e-02 1.075e-01 1.926e-01 5.466e-04 5.350e-04 5.436e-04 2.782e-02 9.439e-06 4.688e-05 
5.206e-02 1.756e-03 3.875e-01 1.457e-02 9.077e-04 1.365e-04 1.474e-04 3.241e-07 6.169e-06 2.514e-07 
2.807e-03 1.809e-02 1.391e-01 2.095e-01 5.200e-04 7.115e-04 1.040e-04 1.338e-02 4.157e-06 2.676e-05 
2.895e-02 1.754e-03 3.770e-01 2.433e-02 1.269e-03 1.490e-04 1.626e-04 6.911e-07 5.066e-06 2.384e-07 
2.811e-03 1.201e-02 1.542e-01 2.082e-01 0.000e+00 0.000e+00 3.462e-05 7.736e-03 0.000e+00 0.000e+00 
1.922e-02 1.757e-03 3.724e-01 3.585e-02 0.000e+00 0.000e+00 1.499e-04 1.625e-06 0.000e+00 0.000e+00 
2.712e-03 8.466e-03 1.627e-01 2.047e-01 4.404e-04 9.048e-04 2.204e-05 4.681e-03 1.880e-06 1.535e-05 
1.355e-02 1.695e-03 3.586e-01 4.532e-02 6.410e-04 4.664e-04 1.428e-04 3.386e-06 5.283e-06 4.979e-07 
2.760e-03 6.648e-03 1.727e-01 2.021e-01 5.680e-04 7.399e-04 1.372e-05 3.134e-03 1.353e-06 2.783e-05 
1.064e-02 1.725e-03 3.464e-01 5.822e-02 7.540e-04 6.130e-04 1.182e-04 4.540e-06 3.579e-06 6.858e-07 
2.746e-03 4.869e-03 1.848e-01 1.959e-01 5.560e-04 6.125e-04 4.906e-06 1.688e-03 7.528e-07 3.745e-05 
7.791e-03 1.716e-03 3.314e-01 7.425e-02 1.599e-03 6.270e-04 9.896e-05 1.313e-05 5.471e-06 4.254e-06 
2.730e-03 3.566e-03 1.989e-01 1.875e-01 3.705e-04 8.800e-04 1.068e-05 8.515e-04 1.322e-06 1.080e-05 
5.706e-03 1.706e-03 3.098e-01 9.255e-02 7.538e-04 5.617e-04 8.320e-05 1.176e-05 4.420e-06 1.191e-06 
2.755e-03 3.024e-03 2.094e-01 1.794e-01 7.230e-04 5.567e-04 1.014e-05 5.399e-04 1.152e-06 6.997e-06 
4.838e-03 1.722e-03 2.965e-01 1.047e-01 4.413e-04 3.678e-04 8.697e-05 1.866e-05 5.867e-06 2.075e-06 
2.743e-03 2.171e-03 2.347e-01 1.647e-01 1.098e-03 7.675e-04 1.870e-05 1.793e-04 1.634e-06 6.126e-06 
3.474e-03 1.714e-03 2.738e-01 1.302e-01 0.000e+00 0.000e+00 4.054e-05 5.230e-05 0.000e+00 0.000e+00 
2.782e-03 1.739e-03 2.528e-01 1.478e-01 5.340e-04 3.346e-04 3.240e-05 9.055e-05 2.666e-06 2.801e-06 
2.782e-03 1.739e-03 2.528e-01 1.478e-01 5.340e-04 3.346e-04 3.240e-05 9.055e-05 2.666e-06 2.801e-06 
2.712e-03 1.338e-03 2.727e-01 1.294e-01 7.781e-04 1.044e-03 4.647e-05 4.320e-05 2.630e-06 4.713e-06 
2.141e-03 1.695e-03 2.341e-01 1.607e-01 1.141e-03 8.422e-04 1.607e-05 1.832e-04 1.043e-06 6.437e-06 
2.713e-03 9.655e-04 2.979e-01 1.056e-01 6.316e-04 5.581e-04 7.150e-05 2.060e-05 2.941e-06 1.391e-06 
1.545e-03 1.696e-03 2.186e-01 1.769e-01 8.763e-04 6.692e-04 1.181e-05 3.890e-04 1.319e-06 4.616e-06 
