#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
4.838e-03 6.887e-04 4.663e-01 1.690e-02 6.156e-04 1.143e-04 1.521e-05 4.972e-04 1.303e-06 7.214e-06
2.755e-03 1.210e-03 4.401e-01 3.254e-02 8.261e-04 3.974e-04 2.030e-05 9.545e-04 2.065e-06 2.490e-05
1.564e-03 1.507e-03 4.285e-01 4.321e-02 1.056e-03 2.106e-04 3.047e-05 1.244e-03 3.750e-06 1.459e-05
6.029e-03 3.910e-04 4.803e-01 8.953e-03 1.195e-03 1.572e-04 1.041e-05 2.477e-04 1.003e-06 9.284e-06
4.879e-03 5.836e-04 4.706e-01 1.429e-02 8.597e-04 1.803e-04 1.598e-05 3.976e-04 1.630e-06 6.206e-06
2.334e-03 1.220e-03 4.407e-01 3.450e-02 5.163e-04 3.847e-04 2.165e-05 9.794e-04 1.213e-06 9.236e-06
4.826e-03 4.252e-04 4.788e-01 1.022e-02 1.115e-03 1.271e-04 1.206e-05 2.990e-04 1.338e-06 4.890e-06
1.701e-03 1.206e-03 4.407e-01 3.567e-02 7.884e-04 2.227e-04 2.337e-05 1.030e-03 1.864e-06 1.047e-05
4.857e-03 3.150e-04 4.829e-01 7.772e-03 9.753e-04 1.913e-04 1.440e-05 2.193e-04 1.373e-06 3.707e-06
1.260e-03 1.214e-03 4.374e-01 3.699e-02 8.076e-04 4.382e-04 2.656e-05 1.081e-03 1.586e-06 6.779e-06
4.859e-03 2.432e-04 4.841e-01 6.057e-03 7.870e-04 1.500e-04 1.159e-05 1.775e-04 1.082e-06 3.184e-06
9.727e-04 1.215e-03 4.390e-01 3.653e-02 1.245e-03 2.091e-04 2.710e-05 1.122e-03 1.964e-06 1.020e-05
4.854e-03 1.775e-04 4.870e-01 4.548e-03 6.224e-04 1.091e-04 1.182e-05 1.198e-04 1.152e-06 3.525e-06
7.100e-04 1.214e-03 4.412e-01 3.651e-02 7.996e-04 2.405e-04 2.460e-05 1.131e-03 1.200e-06 1.213e-05
2.782e-03 6.955e-04 4.622e-01 1.940e-02 8.409e-04 2.201e-04 1.901e-05 5.517e-04 1.750e-06 1.063e-05
4.843e-03 1.174e-04 4.910e-01 3.052e-03 8.222e-04 1.175e-04 1.304e-05 8.010e-05 1.697e-06 3.146e-06
4.696e-04 1.211e-03 4.453e-01 3.285e-02 7.636e-04 2.698e-04 3.710e-05 1.152e-03 2.142e-06 1.163e-05
4.816e-03 6.497e-05 4.928e-01 1.539e-03 7.118e-04 5.587e-05 1.877e-05 4.307e-05 1.680e-06 1.843e-06
2.599e-04 1.204e-03 4.183e-01 2.915e-02 8.199e-04 3.066e-04 4.033e-05 1.176e-03 2.565e-06 5.082e-06
4.831e-03 2.364e-05 4.971e-01 5.041e-04 1.640e-03 2.647e-05 1.288e-05 1.654e-05 2.110e-06 1.423e-06
